商品代碼,商品名稱,時間,成交價,漲跌,單量,開盤價,最高價,最低價,成交量,買價,賣價,理論價,漲停價,跌停價,資料更新日期,買價1,買價2,買價3,買價4,買價5,賣價1,賣價2,賣價3,賣價4,賣價5,委買量1,委買量2,委買量3,委買量4,委買量5,委賣量1,委賣量2,委賣量3,委賣量4,委賣量5
TXFH8,台指期08,5817,10926,-13,1,10948,10967,10918,17917,10925,10927,11042.51,12032,9846,20180730,10925,10924,10923,10922,10921,10927,10928,10929,10930,10931,13,19,20,15,15,22,16,27,28,12
TXFH8,台指期08,5827,10925,-14,1,10948,10967,10918,17918,10925,10926,11042.51,12032,9846,20180730,10925,10924,10923,10922,10921,10926,10927,10928,10929,10930,1,22,14,21,15,17,22,15,25,23
TXFH8,台指期08,5841,10925,-14,1,10948,10967,10918,17919,10925,10926,11042.51,12032,9846,20180730,10925,10924,10923,10922,10921,10926,10927,10928,10929,10930,1,22,15,21,15,3,22,16,25,24
TXFH8,台指期08,5915,10924,-15,2,10948,10967,10918,17921,10924,10926,11042.51,12032,9846,20180730,10924,10923,10922,10921,10920,10926,10927,10928,10929,10930,11,16,16,20,33,27,21,21,20,25
TXFH8,台指期08,5930,10925,-14,1,10948,10967,10918,17922,10924,10925,11042.51,12032,9846,20180730,10924,10923,10922,10921,10920,10925,10926,10927,10928,10929,14,16,16,20,33,6,28,19,21,19
TXFH8,台指期08,10002,10925,-14,6,10948,10967,10918,17928,10924,10925,11042.51,12032,9846,20180730,10924,10923,10922,10921,10920,10925,10926,10927,10928,10929,11,16,16,21,32,7,29,17,20,20
TXFH8,台指期08,10002,10925,-14,1,10948,10967,10918,17930,10924,10925,11042.51,12032,9846,20180730,10924,10923,10922,10921,10920,10925,10926,10927,10928,10929,12,16,17,20,32,6,29,17,20,20
TXFH8,台指期08,10002,10924,-15,1,10948,10967,10918,17931,10924,10925,11042.51,12032,9846,20180730,10924,10923,10922,10921,10920,10925,10926,10927,10928,10929,11,16,16,21,32,10,29,17,20,20
TXFH8,台指期08,10010,10925,-14,1,10948,10967,10918,17932,10924,10925,11042.51,12032,9846,20180730,10924,10923,10922,10921,10920,10925,10926,10927,10928,10929,12,16,17,20,32,6,29,17,20,20
TXFH8,台指期08,10026,10924,-15,1,10948,10967,10918,17933,10924,10925,11042.51,12032,9846,20180730,10924,10923,10922,10921,10920,10925,10926,10927,10928,10929,11,16,17,21,33,2,30,17,20,20
TXFH8,台指期08,10033,10924,-15,4,10948,10967,10918,17937,10924,10925,11042.51,12032,9846,20180730,10924,10923,10922,10921,10920,10925,10926,10927,10928,10929,8,16,18,22,32,13,30,17,20,20
TXFH8,台指期08,10038,10924,-15,5,10948,10967,10918,17942,10924,10925,11042.51,12032,9846,20180730,10924,10923,10922,10921,10920,10925,10926,10927,10928,10929,3,16,18,22,32,18,30,18,15,20
TXFH8,台指期08,10040,10924,-15,3,10948,10967,10918,17945,10923,10924,11042.51,12032,9846,20180730,10923,10922,10921,10920,10919,10924,10925,10926,10927,10928,9,19,17,37,21,11,22,28,23,9
TXFH8,台指期08,10044,10924,-15,1,10948,10967,10918,17946,10923,10924,11042.51,12032,9846,20180730,10923,10922,10921,10920,10919,10924,10925,10926,10927,10928,9,19,16,38,21,10,22,29,22,9
TXFH8,台指期08,10047,10923,-16,2,10948,10967,10918,17948,10923,10924,11042.51,12032,9846,20180730,10923,10922,10921,10920,10919,10924,10925,10926,10927,10928,6,19,16,38,21,11,22,30,22,9
TXFH8,台指期08,10049,10920,-19,8,10948,10967,10918,17998,10920,10923,11042.51,12032,9846,20180730,10920,10919,10918,10917,10916,10923,10924,10925,10926,10927,25,21,30,67,29,12,14,22,29,13
TXFH8,台指期08,10052,10922,-17,1,10948,10967,10918,17999,10922,10923,11042.51,12032,9846,20180730,10922,10921,10920,10919,10918,10923,10924,10925,10926,10927,7,17,28,27,32,9,15,15,27,12
TXFH8,台指期08,10100,10923,-16,1,10948,10967,10918,18000,10923,10924,11042.51,12032,9846,20180730,10923,10922,10921,10920,10919,10924,10925,10926,10927,10928,6,11,12,29,21,14,16,22,17,9
TXFH8,台指期08,10103,10923,-16,3,10948,10967,10918,18003,10923,10924,11042.51,12032,9846,20180730,10923,10922,10921,10920,10919,10924,10925,10926,10927,10928,4,11,12,31,21,15,21,22,17,9
TXFH8,台指期08,10105,10922,-17,1,10948,10967,10918,18008,10922,10924,11042.51,12032,9846,20180730,10922,10921,10920,10919,10918,10924,10925,10926,10927,10928,9,13,31,21,32,15,21,22,17,9
TXFH8,台指期08,10106,10922,-17,2,10948,10967,10918,18010,10923,10924,11042.51,12032,9846,20180730,10922,10921,10920,10919,10918,10924,10925,10926,10927,10928,7,13,31,21,32,15,21,22,17,9
TXFH8,台指期08,10120,10923,-16,1,10948,10967,10918,18011,10923,10924,11042.51,12032,9846,20180730,10923,10922,10921,10920,10919,10924,10925,10926,10927,10928,4,10,12,31,21,15,21,22,17,9
TXFH8,台指期08,10121,10924,-15,2,10948,10967,10918,18013,10923,10924,11042.51,12032,9846,20180730,10923,10922,10921,10920,10919,10924,10925,10926,10927,10928,4,10,12,31,21,14,21,22,17,9
TXFH8,台指期08,10122,10924,-15,1,10948,10967,10918,18014,10923,10924,11042.51,12032,9846,20180730,10923,10922,10921,10920,10919,10924,10925,10926,10927,10928,4,10,12,33,21,12,21,22,17,9
TXFH8,台指期08,10141,10923,-16,1,10948,10967,10918,18015,10923,10924,11042.51,12032,9846,20180730,10923,10922,10921,10920,10919,10924,10925,10926,10927,10928,6,13,12,29,21,15,22,24,17,9
TXFH8,台指期08,10146,10923,-16,1,10948,10967,10918,18017,10923,10924,11042.51,12032,9846,20180730,10923,10922,10921,10920,10919,10924,10925,10926,10927,10928,4,12,12,29,21,15,23,24,17,9
TXFH8,台指期08,10149,10923,-16,1,10948,10967,10918,18018,10923,10924,11042.51,12032,9846,20180730,10923,10922,10921,10920,10919,10924,10925,10926,10927,10928,3,6,12,29,21,15,23,24,17,9
TXFH8,台指期08,10236,10923,-16,3,10948,10967,10918,18021,10923,10924,11042.51,12032,9846,20180730,10923,10922,10921,10920,10919,10924,10925,10926,10927,10928,5,9,13,28,21,24,18,24,17,12
TXFH8,台指期08,10238,10923,-16,2,10948,10967,10918,18026,10922,10923,11042.51,12032,9846,20180730,10922,10921,10920,10919,10918,10923,10924,10925,10926,10927,9,13,23,26,29,2,22,18,29,12
TXFH8,台指期08,10240,10922,-17,3,10948,10967,10918,18029,10922,10923,11042.51,12032,9846,20180730,10922,10921,10920,10919,10918,10923,10924,10925,10926,10927,5,14,22,27,29,9,24,17,29,12
TXFH8,台指期08,10242,10922,-17,3,10948,10967,10918,18032,10922,10923,11042.51,12032,9846,20180730,10922,10921,10920,10919,10918,10923,10924,10925,10926,10927,2,14,22,27,29,9,24,18,28,12
TXFH8,台指期08,10242,10921,-18,3,10948,10967,10918,18037,10921,10923,11042.51,12032,9846,20180730,10921,10920,10919,10918,10917,10923,10924,10925,10926,10927,11,22,27,29,46,10,24,18,28,12
TXFH8,台指期08,10305,10921,-18,1,10948,10967,10918,18038,10921,10923,11042.51,12032,9846,20180730,10921,10920,10919,10918,10917,10923,10924,10925,10926,10927,13,23,27,31,46,11,16,17,28,15
TXFH8,台指期08,10324,10922,-17,1,10948,10967,10918,18039,10921,10922,11042.51,12032,9846,20180730,10921,10920,10919,10918,10917,10922,10923,10924,10925,10926,9,23,21,35,48,9,13,15,22,23
TXFH8,台指期08,10328,10921,-18,1,10948,10967,10918,18040,10921,10922,11042.51,12032,9846,20180730,10921,10920,10919,10918,10917,10922,10923,10924,10925,10926,8,23,21,35,46,13,13,15,21,23
TXFH8,台指期08,10328,10921,-18,1,10948,10967,10918,18041,10921,10922,11042.51,12032,9846,20180730,10921,10920,10919,10918,10917,10922,10923,10924,10925,10926,7,23,21,35,46,13,13,15,21,23
TXFH8,台指期08,10335,10921,-18,5,10948,10967,10918,18046,10921,10922,11042.51,12032,9846,20180730,10921,10920,10919,10918,10917,10922,10923,10924,10925,10926,1,23,20,40,46,15,13,15,20,23
TXFH8,台指期08,10337,10921,-18,1,10948,10967,10918,18047,10920,10922,11042.51,12032,9846,20180730,10920,10919,10918,10917,10916,10922,10923,10924,10925,10926,23,20,40,46,24,15,13,15,20,23
TXFH8,台指期08,10337,10920,-19,1,10948,10967,10918,18048,10920,10922,11042.51,12032,9846,20180730,10920,10919,10918,10917,10916,10922,10923,10924,10925,10926,21,21,40,46,24,16,13,15,20,23
TXFH8,台指期08,10339,10920,-19,1,10948,10967,10918,18049,10920,10921,11042.51,12032,9846,20180730,10920,10919,10918,10917,10916,10921,10922,10923,10924,10925,22,21,35,51,24,8,15,12,20,11
TXFH8,台指期08,10348,10920,-19,6,10948,10967,10918,18055,10920,10921,11042.51,12032,9846,20180730,10920,10919,10918,10917,10916,10921,10922,10923,10924,10925,17,21,34,51,25,3,15,12,20,11
TXFH8,台指期08,10349,10921,-18,1,10948,10967,10918,18056,10920,10921,11042.51,12032,9846,20180730,10920,10919,10918,10917,10916,10921,10922,10923,10924,10925,17,21,34,51,25,2,15,12,20,11
TXFH8,台指期08,10356,10921,-18,1,10948,10967,10918,18057,10920,10921,11042.51,12032,9846,20180730,10920,10919,10918,10917,10916,10921,10922,10923,10924,10925,17,21,34,51,25,1,15,12,20,11
TXFH8,台指期08,10405,10920,-19,5,10948,10967,10918,18062,10920,10921,11042.51,12032,9846,20180730,10920,10919,10918,10917,10916,10921,10922,10923,10924,10925,12,21,34,51,25,9,35,13,20,11
TXFH8,台指期08,10423,10920,-19,1,10948,10967,10918,18063,10920,10921,11042.51,12032,9846,20180730,10920,10919,10918,10917,10916,10921,10922,10923,10924,10925,13,21,34,52,23,7,14,12,20,11
